Country,Safety and Security,Militarisation,Ongoing Conflict,Overall Score
Afghanistan,4.127,2.472,3.65,3.554
Albania,2.12,1.666,1.403,1.761
Algeria,2.302,2.041,2.068,2.146
Angola,2.413,1.706,1.666,1.982
Argentina,2.656,1.611,1.201,1.911
Armenia,1.977,2.041,1.99,1.992
Australia,1.657,1.848,1.266,1.565
Austria,1.452,1.331,1.097,1.300
Azerbaijan,2.528,2.108,2.579,2.437
Bahrain,2.405,1.717,1.955,2.085
Bangladesh,2.438,1.534,2.004,2.067
Belarus,2.526,1.896,2.208,2.259
Belgium,1.806,1.602,1.141,1.526
Benin,2.574,2.022,1.666,2.125
Bhutan,1.601,1.336,1.436,1.481
Bolivia,2.503,1.934,1.403,1.989
Bosnia and Herzegovina,2.044,1.526,1.835,1.850
Botswana,2.441,1.812,1,1.801
Brazil,3.284,1.965,1.853,2.465
Bulgaria,1.929,1.633,1,1.541
Burkina Faso,2.993,2.189,3.023,2.786
Burundi,3.024,1.556,2.443,2.470
Cambodia,2.08,1.933,1.638,1.882
Cameroon,3.014,1.877,2.967,2.709
Canada,1.637,1.465,1.03,1.389
Central African Republic,3.579,2.273,2.874,3.021
Chad,2.903,2.189,2.552,2.591
Chile,2.361,1.585,1.403,1.840
China,2.107,2.022,1.858,2.010
Colombia,3.596,2.052,2.099,2.729
Costa Rica,2.229,1.614,1.201,1.732
Cote d' Ivoire,2.764,1.724,1.694,2.144
Croatia,1.564,1.565,1.201,1.440
Cuba,2.614,1.533,1.805,2.083
Cyprus,2.251,1.605,1.604,1.903
Czech Republic,1.566,1.263,1.034,1.318
Democratic Republic of the Congo,3.747,1.881,3.413,3.166
Denmark,1.295,1.368,1.242,1.296
Djibouti,2.561,2.14,1.856,2.213
Dominican Republic,2.614,1.72,1.403,1.990
Ecuador,2.509,1.866,1.426,1.988
Egypt,2.503,2.014,2.426,2.342
El Salvador,3.062,1.879,1.436,2.231
Equatorial Guinea,2.2,1.638,1.604,1.863
Eritrea,3.359,1.914,1.705,2.494
Estonia,1.703,1.607,1.638,1.662
Eswatini,2.576,1.706,1.604,2.033
Ethiopia,2.917,1.809,3.457,2.806
Finland,1.349,1.598,1.436,1.439
France,1.867,2.773,1.305,1.895
Gabon,2.378,1.807,1.604,1.973
Georgia,2.413,1.79,1.805,2.065
Germany,1.619,1.75,1.062,1.462
Ghana,2.026,1.726,1.472,1.759
Greece,1.773,2.036,1.805,1.838
Guatemala,2.819,1.698,1.626,2.139
Guinea,2.587,2.069,2.262,2.332
Guinea-Bissau,2.586,2.218,1.615,2.156
Guyana,2.895,1.551,1.604,2.140
Haiti,2.735,1.74,2.077,2.254
Honduras,3.064,1.812,1.604,2.269
Hungary,1.528,1.184,1.421,1.411
Iceland,1.237,1.02,1,1.107
India,2.373,2.461,2.982,2.578
Indonesia,2.107,1.496,1.644,1.800
Iran,2.838,2.123,2.923,2.687
Iraq,3.646,2.298,3.207,3.157
Ireland,1.525,1.259,1.015,1.288
Israel,2.237,3.813,2.167,2.576
Italy,1.927,2.013,1.034,1.643
Jamaica,2.791,1.721,1.201,1.990
Japan,1.283,1.308,1.403,1.336
Jordan,2.037,1.964,1.542,1.849
Kazakhstan,2.492,1.781,1.805,2.071
Kenya,2.599,1.794,2.345,2.303
Kosovo,2.266,1.575,1.805,1.938
Kuwait,1.762,2.184,1.431,1.739
Kyrgyz Republic,2.282,1.671,2.006,2.028
Laos,2.076,1.949,1.403,1.809
Latvia,1.798,1.479,1.634,1.673
Lebanon,2.748,2.317,2.701,2.615
Lesotho,2.528,1.748,1.805,2.089
Liberia,2.491,1.804,1.462,1.973
Libya,3.093,2.433,3.16,2.930
Lithuania,1.775,1.735,1.638,1.724
Madagascar,2.612,1.444,1.63,1.995
Malawi,2.144,1.723,1.739,1.895
Malaysia,1.973,1.205,1.015,1.471
Mali,3.589,1.873,2.861,2.911
Mauritania,2.782,1.969,1.638,2.193
Mauritius,2.132,1.373,1,1.570
Mexico,3.158,1.736,2.642,2.612
Moldova,2.142,1.243,2.006,1.882
Mongolia,2.459,1.348,1.201,1.775
Montenegro,2.243,1.602,1.403,1.801
Morocco,2.158,1.752,1.891,1.969
